state,date,cases_cumulative,cases_day,cases_day_perc,cases_daybefore,cases_day_ln,cases_daybefore_ln,log_dif,date_lockdown,measure,date_lockdown_filled,time_to_lockdown,post_intervention
Nebraska,2020-03-15,31,2,0,2,0.6931471805599453,0.6931471805599453,0,NA,NA,2020-03-30,-15,0
Nebraska,2020-03-16,33,2,0,2,0.6931471805599453,0.6931471805599453,0,NA,NA,2020-03-30,-14,0
Nebraska,2020-03-17,36,3,50,2,1.0986122886681098,0.6931471805599453,0.4054651081081645,NA,NA,2020-03-30,-13,0
Nebraska,2020-03-18,43,7,133.33333333333331,3,1.9459101490553132,1.0986122886681098,0.8472978603872034,NA,NA,2020-03-30,-12,0
Nebraska,2020-03-19,47,4,-42.857142857142854,7,1.3862943611198906,1.9459101490553132,-0.5596157879354227,NA,NA,2020-03-30,-11,0
Nebraska,2020-03-20,53,6,50,4,1.791759469228055,1.3862943611198906,0.4054651081081644,NA,NA,2020-03-30,-10,0
Nebraska,2020-03-21,61,8,33.33333333333333,6,2.0794415416798357,1.791759469228055,0.2876820724517808,NA,NA,2020-03-30,-9,0
Nebraska,2020-03-22,62,1,-87.5,8,0,2.0794415416798357,-2.0794415416798357,NA,NA,2020-03-30,-8,0
Nebraska,2020-03-23,73,11,1000,1,2.3978952727983707,0,2.3978952727983707,NA,NA,2020-03-30,-7,0
Nebraska,2020-03-24,77,4,-63.63636363636363,11,1.3862943611198906,2.3978952727983707,-1.01160091167848,NA,NA,2020-03-30,-6,0
Nebraska,2020-03-25,84,7,75,4,1.9459101490553132,1.3862943611198906,0.5596157879354227,NA,NA,2020-03-30,-5,0
Nebraska,2020-03-26,91,7,0,7,1.9459101490553132,1.9459101490553132,0,NA,NA,2020-03-30,-4,0
Nebraska,2020-03-27,102,11,57.14285714285714,7,2.3978952727983707,1.9459101490553132,0.45198512374305744,NA,NA,2020-03-30,-3,0
Nebraska,2020-03-28,122,20,81.81818181818183,11,2.995732273553991,2.3978952727983707,0.5978370007556202,NA,NA,2020-03-30,-2,0
Nebraska,2020-03-29,138,16,-20,20,2.772588722239781,2.995732273553991,-0.2231435513142097,NA,NA,2020-03-30,-1,0
Nebraska,2020-03-30,185,47,193.75,16,3.8501476017100584,2.772588722239781,1.0775588794702773,NA,NA,2020-03-30,0,0
Minnesota,2020-03-15,35,14,100,7,2.6390573296152584,1.9459101490553132,0.6931471805599452,2020-03-27,restrictions on internal movement,2020-03-27,-12,0
Minnesota,2020-03-16,54,19,35.714285714285715,14,2.9444389791664403,2.6390573296152584,0.30538164955118186,2020-03-27,restrictions on internal movement,2020-03-27,-11,0
Minnesota,2020-03-17,60,6,-68.42105263157895,19,1.791759469228055,2.9444389791664403,-1.1526795099383853,2020-03-27,restrictions on internal movement,2020-03-27,-10,0
Minnesota,2020-03-18,77,17,183.33333333333331,6,2.833213344056216,1.791759469228055,1.0414538748281612,2020-03-27,restrictions on internal movement,2020-03-27,-9,0
Minnesota,2020-03-19,89,12,-29.411764705882355,17,2.4849066497880004,2.833213344056216,-0.3483066942682158,2020-03-27,restrictions on internal movement,2020-03-27,-8,0
Minnesota,2020-03-20,115,26,116.66666666666667,12,3.258096538021482,2.4849066497880004,0.7731898882334818,2020-03-27,restrictions on internal movement,2020-03-27,-7,0
Minnesota,2020-03-21,138,23,-11.538461538461538,26,3.1354942159291497,3.258096538021482,-0.12260232209233246,2020-03-27,restrictions on internal movement,2020-03-27,-6,0
Minnesota,2020-03-22,171,33,43.47826086956522,23,3.4965075614664802,3.1354942159291497,0.36101334553733055,2020-03-27,restrictions on internal movement,2020-03-27,-5,0
Minnesota,2020-03-23,235,64,93.93939393939394,33,4.1588830833596715,3.4965075614664802,0.6623755218931913,2020-03-27,restrictions on internal movement,2020-03-27,-4,0
Minnesota,2020-03-24,264,29,-54.6875,64,3.367295829986474,4.1588830833596715,-0.7915872533731974,2020-03-27,restrictions on internal movement,2020-03-27,-3,0
Minnesota,2020-03-25,289,25,-13.793103448275861,29,3.2188758248682006,3.367295829986474,-0.14842000511827358,2020-03-27,restrictions on internal movement,2020-03-27,-2,0
Minnesota,2020-03-26,346,57,128,25,4.04305126783455,3.2188758248682006,0.8241754429663497,2020-03-27,restrictions on internal movement,2020-03-27,-1,0
Minnesota,2020-03-27,398,52,-8.771929824561402,57,3.9512437185814275,4.04305126783455,-0.09180754925312273,2020-03-27,restrictions on internal movement,2020-03-27,0,0
Minnesota,2020-03-28,442,44,-15.384615384615385,52,3.784189633918261,3.9512437185814275,-0.1670540846631665,2020-03-27,restrictions on internal movement,2020-03-27,1,0
Minnesota,2020-03-29,504,62,40.909090909090914,44,4.127134385045092,3.784189633918261,0.34294475112683065,2020-03-27,restrictions on internal movement,2020-03-27,2,0
Minnesota,2020-03-30,576,72,16.129032258064516,62,4.276666119016055,4.127134385045092,0.14953173397096364,2020-03-27,restrictions on internal movement,2020-03-27,3,0
Nevada,2020-03-16,45,19,280,5,2.9444389791664403,1.6094379124341003,1.33500106673234,NA,NA,2020-03-30,-14,0
Nevada,2020-03-17,55,10,-47.368421052631575,19,2.302585092994046,2.9444389791664403,-0.6418538861723944,NA,NA,2020-03-30,-13,0
Nevada,2020-03-18,82,27,170,10,3.295836866004329,2.302585092994046,0.9932517730102832,NA,NA,2020-03-30,-12,0
Nevada,2020-03-19,99,17,-37.03703703703704,27,2.833213344056216,3.295836866004329,-0.46262352194811296,NA,NA,2020-03-30,-11,0
Nevada,2020-03-20,165,66,288.2352941176471,17,4.189654742026425,2.833213344056216,1.356441397970209,NA,NA,2020-03-30,-10,0
Nevada,2020-03-23,265,75,200,25,4.31748811353631,3.2188758248682006,1.0986122886681096,NA,NA,2020-03-30,-7,0
Nevada,2020-03-24,315,50,-33.33333333333333,75,3.912023005428146,4.31748811353631,-0.40546510810816416,NA,NA,2020-03-30,-6,0
Nevada,2020-03-25,405,90,80,50,4.499809670330265,3.912023005428146,0.5877866649021191,NA,NA,2020-03-30,-5,0
Nevada,2020-03-26,535,130,44.44444444444444,90,4.867534450455582,4.499809670330265,0.3677247801253172,NA,NA,2020-03-30,-4,0
Nevada,2020-03-27,621,86,-33.84615384615385,130,4.454347296253507,4.867534450455582,-0.41318715420207486,NA,NA,2020-03-30,-3,0
Nevada,2020-03-28,738,117,36.04651162790697,86,4.762173934797756,4.454347296253507,0.30782663854424896,NA,NA,2020-03-30,-2,0
Nevada,2020-03-29,920,182,55.55555555555556,117,5.204006687076795,4.762173934797756,0.44183275227903884,NA,NA,2020-03-30,-1,0
Nevada,2020-03-30,1044,124,-31.868131868131865,182,4.820281565605037,5.204006687076795,-0.3837251214717581,NA,NA,2020-03-30,0,0
